;Data;Date;
2022-10-13;3448;2022-10-13;
2022-10-14;2375;2022-10-14;
2022-10-15;2295;2022-10-15;
2022-10-16;1846;2022-10-16;
2022-10-17;1822;2022-10-17;
2022-10-18;2329;2022-10-18;
2022-10-19;2252;2022-10-19;
2022-10-20;2545;2022-10-20;
2022-10-21;2139;2022-10-21;
2022-10-22;1859;2022-10-22;
2022-10-23;1778;2022-10-23;
2022-10-24;1990;2022-10-24;
2022-10-25;1887;2022-10-25;
2022-10-26;1781;2022-10-26;
2022-10-27;1845;2022-10-27;
2022-10-28;1650;2022-10-28;
2022-10-29;1398;2022-10-29;
2022-10-30;1205;2022-10-30;
2022-10-31;1081;2022-10-31;
2022-11-01;1278;2022-11-01;
2022-11-02;1552;2022-11-02;
2022-11-03;1495;2022-11-03;
2022-11-04;1512;2022-11-04;
2022-11-05;1832;2022-11-05;
2022-11-06;1823;2022-11-06;
2022-11-07;2429;2022-11-07;
2022-11-08;3057;2022-11-08;
2022-11-09;2930;2022-11-09;
2022-11-10;3065;2022-11-10;
2022-11-11;2618;2022-11-11;
2022-11-12;2197;2022-11-12;
2022-11-13;2557;2022-11-13;
2022-11-14;2310;2022-11-14;
2022-11-15;2732;2022-11-15;
2022-11-16;2259;2022-11-16;
2022-11-17;2629;2022-11-17;
2022-11-18;2197;2022-11-18;
2022-11-19;2544;2022-11-19;
2022-11-20;2888;2022-11-20;
2022-11-21;2619;2022-11-21;
2022-11-22;3286;2022-11-22;
2022-11-23;2770;2022-11-23;
2022-11-24;4422;2022-11-24;
2022-11-25;3658;2022-11-25;
2022-11-26;2957;2022-11-26;
2022-11-27;2797;2022-11-27;
2022-11-28;2847;2022-11-28;
2022-11-29;2614;2022-11-29;
2022-11-30;2564;2022-11-30;
2022-12-01;2193;2022-12-01;
2022-12-02;5878;2022-12-02;
2022-12-03;3047;2022-12-03;
2022-12-04;2567;2022-12-04;
2022-12-05;2021;2022-12-05;
2022-12-06;2093;2022-12-06;
2022-12-07;1826;2022-12-07;
2022-12-08;2040;2022-12-08;
2022-12-09;1576;2022-12-09;
2022-12-10;1662;2022-12-10;
2022-12-11;2258;2022-12-11;
2022-12-12;2267;2022-12-12;
2022-12-13;2411;2022-12-13;
2022-12-14;2602;2022-12-14;
2022-12-15;2562;2022-12-15;
2022-12-16;2261;2022-12-16;
2022-12-17;2181;2022-12-17;
2022-12-18;1973;2022-12-18;
2022-12-19;2042;2022-12-19;
2022-12-20;2256;2022-12-20;
2022-12-21;2321;2022-12-21;
2022-12-22;2333;2022-12-22;
2022-12-23;2233;2022-12-23;
